time,x_est,y_est,z_est,vx_est,vy_est,vz_est,clock_bias,clock_drift
2024-05-14 13:30:00,-6195395098896.609,18204372188149.4,20549869457571.07,-27982668.191557936,82223473.76852848,92817354.2869147,214972466371.8436,970968.6784287571
2024-05-14 14:00:00,-6245763901641.414,18352374440932.75,20716940695287.516,-27982668.191557936,82223473.76852848,92817354.2869147,216720209993.01535,970968.6784287571
2024-05-14 14:30:00,-6296132704386.219,18500376693716.1,20884011933003.96,-27982668.191557936,82223473.76852848,92817354.2869147,218467953614.1871,970968.6784287571
2024-05-14 15:00:00,-6346501507131.023,18648378946499.453,21051083170720.406,-27982668.191557936,82223473.76852848,92817354.2869147,220215697235.35886,970968.6784287571
2024-05-14 15:30:00,-6396870309875.828,18796381199282.805,21218154408436.85,-27982668.191557936,82223473.76852848,92817354.2869147,221963440856.5306,970968.6784287571
2024-05-14 16:00:00,-6447239112620.633,18944383452066.156,21385225646153.297,-27982668.191557936,82223473.76852848,92817354.2869147,223711184477.70236,970968.6784287571
2024-05-14 16:30:00,-6497607915365.4375,19092385704849.508,21552296883869.742,-27982668.191557936,82223473.76852848,92817354.2869147,225458928098.8741,970968.6784287571
2024-05-14 17:00:00,-6547976718110.242,19240387957632.86,21719368121586.188,-27982668.191557936,82223473.76852848,92817354.2869147,227206671720.04587,970968.6784287571
2024-05-14 17:30:00,-6598345520855.047,19388390210416.21,21886439359302.633,-27982668.191557936,82223473.76852848,92817354.2869147,228954415341.21762,970968.6784287571
2024-05-14 18:00:00,-6648714323599.852,19536392463199.562,22053510597019.08,-27982668.191557936,82223473.76852848,92817354.2869147,230702158962.38937,970968.6784287571
2024-05-14 18:30:00,-6699083126344.656,19684394715982.914,22220581834735.523,-27982668.191557936,82223473.76852848,92817354.2869147,232449902583.56113,970968.6784287571
2024-05-14 19:00:00,-6749451929089.461,19832396968766.266,22387653072451.97,-27982668.191557936,82223473.76852848,92817354.2869147,234197646204.73288,970968.6784287571
2024-05-14 19:30:00,-6799820731834.266,19980399221549.617,22554724310168.414,-27982668.191557936,82223473.76852848,92817354.2869147,235945389825.90463,970968.6784287571
2024-05-14 20:00:00,-6850189534579.07,20128401474332.97,22721795547884.86,-27982668.191557936,82223473.76852848,92817354.2869147,237693133447.0764,970968.6784287571
2024-05-14 20:30:00,-6900558337323.875,20276403727116.32,22888866785601.305,-27982668.191557936,82223473.76852848,92817354.2869147,239440877068.24814,970968.6784287571
2024-05-14 21:00:00,-6950927140068.68,20424405979899.67,23055938023317.75,-27982668.191557936,82223473.76852848,92817354.2869147,241188620689.4199,970968.6784287571
2024-05-14 21:30:00,-7001295942813.484,20572408232683.023,23223009261034.195,-27982668.191557936,82223473.76852848,92817354.2869147,242936364310.59164,970968.6784287571
2024-05-14 22:00:00,-7051664745558.289,20720410485466.375,23390080498750.64,-27982668.191557936,82223473.76852848,92817354.2869147,244684107931.7634,970968.6784287571
2024-05-14 22:30:00,-7102033548303.094,20868412738249.727,23557151736467.086,-27982668.191557936,82223473.76852848,92817354.2869147,246431851552.93515,970968.6784287571
2024-05-14 23:00:00,-7152402351047.898,21016414991033.08,23724222974183.53,-27982668.191557936,82223473.76852848,92817354.2869147,248179595174.1069,970968.6784287571
2024-05-14 23:30:00,-7202771153792.703,21164417243816.43,23891294211899.977,-27982668.191557936,82223473.76852848,92817354.2869147,249927338795.27866,970968.6784287571
2024-05-16 00:00:00,-9670842488288.113,28416527630200.64,32077784860005.85,-27982668.19155793,82223473.76852846,92817354.28691468,335566776232.69507,970968.6784287571
2024-05-16 00:30:00,-9721211291032.918,28564529882983.992,32244856097722.297,-27982668.19155793,82223473.76852846,92817354.28691468,337314519853.8668,970968.6784287571
2024-05-16 01:00:00,-9771580093777.723,28712532135767.344,32411927335438.742,-27982668.19155793,82223473.76852846,92817354.28691468,339062263475.0386,970968.6784287571
2024-05-16 01:30:00,-9821948896522.527,28860534388550.695,32578998573155.188,-27982668.19155793,82223473.76852846,92817354.28691468,340810007096.2103,970968.6784287571
2024-05-16 02:00:00,-9872317699267.332,29008536641334.047,32746069810871.633,-27982668.19155793,82223473.76852846,92817354.28691468,342557750717.3821,970968.6784287571
2024-05-16 02:30:00,-9922686502012.137,29156538894117.4,32913141048588.08,-27982668.19155793,82223473.76852846,92817354.28691468,344305494338.55383,970968.6784287571
2024-05-16 03:00:00,-9973055304756.941,29304541146900.75,33080212286304.523,-27982668.19155793,82223473.76852846,92817354.28691468,346053237959.7256,970968.6784287571
2024-05-16 03:30:00,-10023424107501.746,29452543399684.1,33247283524020.97,-27982668.19155793,82223473.76852846,92817354.28691468,347800981580.89734,970968.6784287571
2024-05-16 04:00:00,-10073792910246.55,29600545652467.453,33414354761737.414,-27982668.19155793,82223473.76852846,92817354.28691468,349548725202.0691,970968.6784287571
2024-05-16 04:30:00,-10124161712991.355,29748547905250.805,33581425999453.86,-27982668.19155793,82223473.76852846,92817354.28691468,351296468823.24084,970968.6784287571
2024-05-16 05:00:00,-10174530515736.16,29896550158034.156,33748497237170.305,-27982668.19155793,82223473.76852846,92817354.28691468,353044212444.4126,970968.6784287571
2024-05-16 05:30:00,-10224899318480.965,30044552410817.508,33915568474886.75,-27982668.19155793,82223473.76852846,92817354.28691468,354791956065.58435,970968.6784287571
2024-05-16 06:00:00,-10275268121225.77,30192554663600.86,34082639712603.195,-27982668.19155793,82223473.76852846,92817354.28691468,356539699686.7561,970968.6784287571
2024-05-16 06:30:00,-10325636923970.574,30340556916384.21,34249710950319.64,-27982668.19155793,82223473.76852846,92817354.28691468,358287443307.92786,970968.6784287571
2024-05-16 07:00:00,-10376005726715.379,30488559169167.562,34416782188036.086,-27982668.19155793,82223473.76852846,92817354.28691468,360035186929.0996,970968.6784287571
2024-05-16 07:30:00,-10426374529460.184,30636561421950.914,34583853425752.53,-27982668.19155793,82223473.76852846,92817354.28691468,361782930550.27136,970968.6784287571
2024-05-16 08:00:00,-10476743332204.988,30784563674734.266,34750924663468.977,-27982668.19155793,82223473.76852846,92817354.28691468,363530674171.4431,970968.6784287571
2024-05-16 08:30:00,-10527112134949.793,30932565927517.617,34917995901185.42,-27982668.19155793,82223473.76852846,92817354.28691468,365278417792.61487,970968.6784287571
2024-05-16 09:00:00,-10577480937694.598,31080568180300.97,35085067138901.867,-27982668.19155793,82223473.76852846,92817354.28691468,367026161413.7866,970968.6784287571
2024-05-16 09:30:00,-10627849740439.402,31228570433084.32,35252138376618.31,-27982668.19155793,82223473.76852846,92817354.28691468,368773905034.9584,970968.6784287571
2024-05-16 10:00:00,-10678218543184.207,31376572685867.67,35419209614334.76,-27982668.19155793,82223473.76852846,92817354.28691468,370521648656.1301,970968.6784287571
2024-05-16 10:30:00,-10728587345929.012,31524574938651.023,35586280852051.2,-27982668.19155793,82223473.76852846,92817354.28691468,372269392277.3019,970968.6784287571
2024-05-16 11:00:00,-10778956148673.816,31672577191434.375,35753352089767.65,-27982668.19155793,82223473.76852846,92817354.28691468,374017135898.47363,970968.6784287571
2024-05-16 11:30:00,-10829324951418.621,31820579444217.727,35920423327484.09,-27982668.19155793,82223473.76852846,92817354.28691468,375764879519.6454,970968.6784287571
2024-05-16 12:00:00,-10879693754163.426,31968581697001.08,36087494565200.54,-27982668.19155793,82223473.76852846,92817354.28691468,377512623140.81714,970968.6784287571
2024-05-16 12:30:00,-10930062556908.23,32116583949784.43,36254565802916.984,-27982668.19155793,82223473.76852846,92817354.28691468,379260366761.9889,970968.6784287571
2024-05-16 13:00:00,-10980431359653.035,32264586202567.78,36421637040633.43,-27982668.19155793,82223473.76852846,92817354.28691468,381008110383.16064,970968.6784287571
2024-05-16 13:30:00,-11030800162397.84,32412588455351.133,36588708278349.875,-27982668.19155793,82223473.76852846,92817354.28691468,382755854004.3324,970968.6784287571
2024-05-16 14:00:00,-11081168965142.645,32560590708134.484,36755779516066.32,-27982668.19155793,82223473.76852846,92817354.28691468,384503597625.50415,970968.6784287571
